fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(654.632, 659.545]",2153,0.26473530767130254,657.1572857186951,3430.959323372946,5496.914878730664,4710.0,0.12772875058058522,700.0,31219.0,5351.908877949472,5641.920879511856,8644.061361121943
"(538.285, 540.034]",2153,0.6489807576390805,539.133309193959,4649.831421986942,5653.660385143917,4488.0,0.48908499767765906,400.0,38400.0,5457.139996745317,5850.180773542516,6086.1474383856785
"(512.954, 516.965]",2153,0.7210070356008426,514.9716953718943,3882.951154209821,5670.002304962148,4860.0,0.6781235485369252,400.0,34192.0,5505.893329881922,5834.111280042373,5670.002304962148
"(659.545, 663.883]",2153,0.25247405178706717,661.7700510676532,3415.4527165286345,5678.505655148643,5000.0,0.12169066418950301,400.0,35021.0,5534.155025309585,5822.856284987702,8644.061361121943
"(540.034, 541.733]",2153,0.6434017705353613,540.8936303708914,4916.606391504832,5690.244241692868,4400.0,0.5044124477473293,500.0,38400.0,5482.448880963707,5898.039602422029,6086.1474383856785
"(536.604, 538.285]",2153,0.6542620746020825,537.4551346654864,4576.571712976991,5700.453674759768,4680.0,0.48444031583836505,180.0,38400.0,5507.029533334881,5893.877816184654,6086.1474383856785
"(541.733, 543.519]",2153,0.637896788476433,542.6185261408232,4676.797178779116,5754.065692717264,4680.0,0.46864839758476545,400.0,38400.0,5556.405624077097,5951.725761357431,6086.1474383856785
"(644.169, 649.325]",2153,0.2940066325269129,646.661903444453,5141.171415721659,5847.139499005884,4400.0,0.14026939154667906,400.0,40000.0,5629.853126286233,6064.425871725535,8644.061361121943
"(663.883, 667.644]",2153,0.24198537094026484,665.834592910346,3437.9319217787506,5869.7619165873175,5244.0,0.1086855550394798,500.0,36000.0,5724.461226037293,6015.062607137342,8644.061361121943
"(534.82, 536.604]",2153,0.6596441890489031,535.7323158064362,4555.058441122477,5896.792257003695,4896.0,0.5127728750580586,400.0,38400.0,5704.2773520987785,6089.307161908612,6086.1474383856785
"(516.965, 520.65]",2153,0.7099987583193347,518.8739164284426,4284.381715987119,6021.076786073859,5141.0,0.6600092893636786,400.0,38400.0,5840.001757226069,6202.151814921649,6021.076786073859
"(533.025, 534.82]",2153,0.6653065280729255,533.9055797383019,4976.825110297547,6070.90582827256,4860.0,0.5053413841151881,500.0,38400.0,5860.565384736729,6281.246271808391,6086.1474383856785
"(531.177, 533.025]",2154,0.6708904114484503,532.0890086248743,5036.18588252728,6091.056258175464,4803.0,0.520891364902507,500.0,38400.0,5878.256461334671,6303.8560550162565,6086.1474383856785
"(529.619, 531.177]",2153,0.6760875282744524,530.38433504086,4928.803971712926,6107.299726643724,4968.0,0.5262424523920112,400.0,40000.0,5898.988847612397,6315.610605675051,6086.1474383856785
"(543.519, 545.527]",2153,0.6318202014537646,544.5093311125403,4851.933970023077,6201.170667478839,5239.0,0.4477473293079424,500.0,40000.0,5996.108620763639,6406.2327141940395,6201.170667478839
"(528.345, 529.619]",2153,0.6803525574773059,528.9747388837005,4948.226607229988,6206.289189406605,5000.0,0.5150952159777056,500.0,38400.0,5997.157432470439,6415.4209463427715,6086.1474383856785
"(667.644, 670.767]",2154,0.23341904923217702,669.2439715994774,3514.731849135318,6251.776285706429,5630.0,0.0872794800371402,400.0,34387.0,6103.264248841235,6400.288322571623,8644.061361121943
"(527.067, 528.345]",2153,0.6841523786842794,527.7103498045777,4822.163843093428,6373.290115276769,5208.0,0.5378541569902462,500.0,38400.0,6169.486272650264,6577.093957903274,6086.1474383856785
"(670.767, 673.742]",2153,0.2260159919788941,672.2618340771899,3833.2618960731047,6402.201179255778,5896.0,0.07849512308406874,500.0,100000.0,6240.19227005366,6564.210088457896,8644.061361121943
"(520.65, 523.614]",2153,0.7005000308748158,522.171650515684,4477.500981466069,6472.578619885428,5904.0,0.6446818392940084,400.0,38400.0,6283.341602007301,6661.815637763556,6086.1474383856785
"(523.614, 525.606]",2153,0.6932336793806758,524.6541674153857,4489.138381346129,6512.585921729839,5874.0,0.6121690664189503,400.0,38400.0,6322.857061000471,6702.314782459208,6086.1474383856785
"(525.606, 527.067]",2153,0.6881934152513667,526.3565399678139,4817.727555485748,6590.694788305917,5750.0,0.5870877844867627,500.0,40000.0,6387.07844085603,6794.311135755805,6086.1474383856785
"(545.527, 547.782]",2153,0.6250239274761439,546.6087362416533,4984.74496327168,6603.419290606073,5742.0,0.4477473293079424,400.0,38400.0,6392.744122552021,6814.094458660126,6603.419290606073
"(676.757, 679.68]",2153,0.21193287078321224,678.2035118721823,3553.208352661282,6689.219966921084,6138.0,0.07942405945192754,500.0,40000.0,6539.047235448647,6839.392698393521,8644.061361121943
"(673.742, 676.757]",2153,0.21878734950975293,675.277339660623,3818.0250184450356,6767.883717944401,6127.0,0.08267533673943335,900.0,36000.0,6606.518779853857,6929.248656034944,8644.061361121943
"(547.782, 550.268]",2153,0.6171825709151053,549.0122424849092,5030.533833746822,6836.22465939292,5962.0,0.463539247561542,500.0,38400.0,6623.614271372062,7048.835047413779,6836.22465939292
"(639.301, 644.169]",2153,0.3082569002408514,641.7754497907066,6214.24569136972,6964.6302556470655,5340.0,0.13469577333952623,500.0,40000.0,6701.991491777546,7227.269019516585,8644.061361121943
"(679.68, 682.499]",2153,0.20526223232868102,681.118330701774,3776.7711381832733,7093.673191837924,6596.0,0.07152810032512773,960.0,36000.0,6934.051806972483,7253.294576703364,8644.061361121943
"(550.268, 552.84]",2154,0.6088493067696813,551.5462538613885,4884.430985123969,7144.297134075966,6345.0,0.45357474466109565,400.0,40000.0,6937.909612732998,7350.684655418934,7144.297134075966
"(555.457, 558.016]",2153,0.5915121764786451,556.7586913622849,4887.568096415602,7189.903022142346,6528.0,0.4064096609382257,600.0,40000.0,6983.334935374642,7396.471108910051,7329.457002660146
"(682.499, 685.208]",2153,0.199151011501931,683.850998947801,3836.386088903963,7213.959281867455,6817.0,0.06456107756618672,1000.0,45000.0,7051.818331837867,7376.100231897042,8644.061361121943
"(688.096, 690.951]",2153,0.18691428712494307,689.519587518023,3601.990924342831,7272.280956112475,6776.0,0.05109150023223409,1000.0,36000.0,7120.046478941343,7424.515433283607,8644.061361121943
"(558.016, 560.646]",2153,0.582856202249067,559.3347050217317,5120.252524509579,7289.686893450828,6468.0,0.40826753367394336,500.0,38400.0,7073.284636358774,7506.089150542883,7329.457002660146
